address,type,date_notice,notice_number,district,neighborhood,pdf_path,text_path
3014 VINEYARD,Exterior,2021-12-10,2065716A,NORTHERN,ABELL,,
3033 BARCLAY,Exterior,2025-03-19,2484872A,NORTHERN,ABELL,pdf\ABELL\2484872A.pdf,text\ABELL\2484872A.txt
3033 BARCLAY,Interior,2025-06-09,2522615A,,ABELL,pdf\ABELL\2522615A.pdf,text\ABELL\2522615A.txt
3242 BARCLAY,Exterior,2025-02-20,2478978A,NORTHERN,ABELL,pdf\ABELL\2478978A.pdf,text\ABELL\2478978A.txt
3246 ABELL,Interior,2025-03-04,2483517A,,ABELL,pdf\ABELL\2483517A.pdf,text\ABELL\2483517A.txt
305 E 31ST,Exterior,2025-05-27,2513985A,NORTHERN,ABELL,pdf\ABELL\2513985A.pdf,text\ABELL\2513985A.txt
3145 ABELL,Interior/Exterior,2025-07-25,2542491A,NORTHERN,ABELL,pdf\ABELL\2542491A.pdf,text\ABELL\2542491A.txt
403 E 31ST,Exterior,2025-10-30,2581992A,NORTHERN,ABELL,pdf\ABELL\2581992A.pdf,text\ABELL\2581992A.txt
3028 GREENMOUNT,Exterior,2025-04-23,2499133A,NORTHERN,ABELL,pdf\ABELL\2499133A.pdf,text\ABELL\2499133A.txt
3246 ABELL,Interior,2025-02-20,2480278A,,ABELL,pdf\ABELL\2480278A.pdf,text\ABELL\2480278A.txt
3113 BARCLAY,Vacant,2025-01-17,2472414A,NORTHERN,ABELL,pdf\ABELL\2472414A.pdf,text\ABELL\2472414A.txt
3004 VINEYARD,Exterior,2025-08-20,2555822A,NORTHERN,ABELL,pdf\ABELL\2555822A.pdf,text\ABELL\2555822A.txt
2946 GREENMOUNT,Interior/Exterior,2025-03-26,2488126A,NORTHERN,ABELL,pdf\ABELL\2488126A.pdf,text\ABELL\2488126A.txt
416 E 30TH,Exterior,2025-04-23,2499162A,NORTHERN,ABELL,pdf\ABELL\2499162A.pdf,text\ABELL\2499162A.txt
3118 GREENMOUNT,Exterior,2025-04-02,2491606A,NORTHERN,ABELL,pdf\ABELL\2491606A.pdf,text\ABELL\2491606A.txt
2920 GREENMOUNT,Exterior,2025-03-21,2487743A,NORTHERN,ABELL,pdf\ABELL\2487743A.pdf,text\ABELL\2487743A.txt
3033 BARCLAY,Exterior,2025-05-05,2502888A,NORTHERN,ABELL,pdf\ABELL\2502888A.pdf,text\ABELL\2502888A.txt
3019 BARCLAY,Exterior,2025-05-09,2507178A,NORTHERN,ABELL,pdf\ABELL\2507178A.pdf,text\ABELL\2507178A.txt
2938 GREENMOUNT,Exterior,2025-03-26,2488165A,NORTHERN,ABELL,pdf\ABELL\2488165A.pdf,text\ABELL\2488165A.txt
3035 BARCLAY,Exterior,2025-08-15,2552206A,NORTHERN,ABELL,pdf\ABELL\2552206A.pdf,text\ABELL\2552206A.txt
